"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"第1个STS SPE(45M)","有效数据","AAL数量: 193972字节, 比例: 0.02%","AAL2数量: 193972字节, 比例: 100.00%","0000: 0024; CID编号: 11","(2013-1-1)标准AAL2; CID承载业务G729","","数量：490014字节, 比例：52.17% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 193972字节, 比例: 0.02%","AAL2数量: 193972字节, 比例: 100.00%","0000: 0024; CID编号: 11","(2013-1-1)标准AAL2; CID承载业务G729","","数量：490014字节, 比例：52.17% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 193972字节, 比例: 0.02%","AAL2数量: 193972字节, 比例: 100.00%","0000: 0024; CID编号: 11","(2013-1-14)标准AAL2; CID承载业务G729","","数量：383564字节, 比例：32.44% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 193972字节, 比例: 0.02%","AAL2数量: 193972字节, 比例: 100.00%","0000: 0024; CID编号: 11","(2013-1-14)标准AAL2; CID承载业务G729","","数量：383564字节, 比例：32.44% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 193972字节, 比例: 0.02%","AAL2数量: 193972字节, 比例: 100.00%","0000: 0024; CID编号: 11","(2013-1-15)标准AAL2; CID承载业务G729","","数量：1798260字节, 比例：70.98% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 193972字节, 比例: 0.02%","AAL2数量: 193972字节, 比例: 100.00%","0000: 0024; CID编号: 11","(2013-1-15)标准AAL2; CID承载业务G729","","数量：1798260字节, 比例：70.98% ","",""
"第1个STS SPE(45M)","空信元","空信元数量: 923942198字节, 比例: 99.95%","","","","","","",""
"第1个STS SPE(45M)","无效数据","其他元数量: 283928字节, 比例: 0.03%","","","","","","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 210244620字节, 比例: 2.21%","AAL1数量: 39557248字节, 比例: 18.81%","0000: 0079","(2013-1-1)AAL1结构化24: 时隙号：1,数据类型：话音,记录条数：88,记录字节数：16749124",""," 数量：242817024字节, 比例：100.00%","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 210244620字节, 比例: 2.21%","AAL1数量: 39557248字节, 比例: 18.81%","0000: 0079","(2013-1-1)AAL1结构化24: 时隙号：2,数据类型：话音,记录条数：88,记录字节数：16614488",""," 数量：242817024字节, 比例：100.00%","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 210244620字节, 比例: 2.21%","AAL1数量: 39557248字节, 比例: 18.81%","0000: 0079","(2013-1-1)AAL1结构化24: 时隙号：3,数据类型：话音,记录条数：95,记录字节数：18493280",""," 数量：242817024字节, 比例：100.00%","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 210244620字节, 比例: 2.21%","AAL1数量: 39557248字节, 比例: 18.81%","0000: 0079","(2013-1-1)AAL1结构化24: 时隙号：4,数据类型：话音,记录条数：93,记录字节数：18587516",""," 数量：242817024字节, 比例：100.00%","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 210244620字节, 比例: 2.21%","AAL1数量: 39557248字节, 比例: 18.81%","0000: 0079","(2013-1-1)AAL1结构化24: 时隙号：5,数据类型：话音,记录条数：91,记录字节数：17055804",""," 数量：242817024字节, 比例：100.00%","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 210244620字节, 比例: 2.21%","AAL1数量: 39557248字节, 比例: 18.81%","0000: 0079","(2013-1-1)AAL1结构化24: 时隙号：6,数据类型：话音,记录条数：89,记录字节数：17176352",""," 数量：242817024字节, 比例：100.00%","",""
