fileName,attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr50,attr51,attr52,attr53,attr54,attr55,attr56,attr57,attr58,attr59,attr60,attr61,attr62,attr63,attr64,attr65,attr66,attr67,attr68,attr69,attr70,attr71,attr72,attr73,attr74,attr75,attr76,attr77,attr78,attr79,attr80,attr81,attr82,attr83,attr84,attr85,attr86,attr87,attr88
201318-R05-72XX.csv,1,8,1,8,251,251,251,251,1,251,1,226,1,251,1,178,1,259,1,259,226,226,226,251,251,251,251,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,270,1,13,1,8,270,1,270,1,260,1,260,1,260,1,260,1,270,1,270,1,65,1,62,1,62,1,62,1,62,1,62,1
201318-R05-73XX.csv,5,1,4,1,1,1,1,1,120,1,120,1,67,1,120,1,365,1,365,1,1,1,1,1,1,1,1,7,37,45,9,1,11,9,1,9,11,1,9,1,11,13,15,7,1,7,7,1,5,15,19,21,25,43,39,43,1,5,1,4,1,1,202,1,233,1,444,1,444,1,446,1,446,1,464,1,464,1,11,1,17,1,17,1,17,1,17,1,17
201319-R05-72XX.csv,1,8,1,8,251,251,251,251,1,251,1,226,1,251,1,178,1,259,1,260,226,226,226,251,251,251,251,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,1,1,12,1,1,18,1,1,1,1,1,1,1,1,271,1,13,1,8,271,1,271,1,261,1,261,1,261,1,260,1,270,1,271,1,65,1,62,1,62,1,62,1,62,1,62,1
201319-R05-73XX.csv,5,1,4,1,1,1,1,1,120,1,120,1,67,1,120,1,365,1,365,1,1,1,1,1,1,1,1,7,37,45,9,1,11,9,1,9,11,1,9,1,11,13,15,7,1,7,7,1,5,15,19,21,25,43,39,43,1,5,1,4,1,1,202,1,233,1,444,1,444,1,446,1,446,1,464,1,464,1,11,1,17,1,17,1,17,1,17,1,17
201358-R05-72XX.csv,1,7,1,7,66,66,66,66,1,66,1,65,1,65,1,22,1,65,1,66,65,65,65,66,66,66,66,1,1,1,1,14,1,1,14,1,1,36,1,36,1,1,1,1,10,1,1,24,1,1,1,1,1,1,1,1,66,1,32,1,13,65,1,65,1,66,1,66,1,66,1,66,1,65,1,65,1,387,1,71,1,70,1,70,1,70,1,70,1
201358-R05-73XX.csv,83,1,4,1,1,1,1,1,32,1,32,1,58,1,32,1,11,1,11,1,1,1,1,1,1,1,1,21,5,7,19,1,25,23,1,29,25,1,25,1,25,25,21,27,1,23,23,1,11,11,13,13,7,9,13,23,1,106,1,4,1,1,29,1,7,1,11,1,11,1,11,1,11,1,11,1,11,1,646,1,17,1,17,1,17,1,17,1,17
201381-R05-72XX.csv,1,7,1,7,63,63,63,63,1,63,1,62,1,62,1,20,1,62,1,63,62,62,62,63,63,63,63,1,1,1,1,14,1,1,14,1,1,30,1,30,1,1,1,1,10,1,1,18,1,1,1,1,1,1,1,1,63,1,8,1,7,62,1,62,1,63,1,63,1,63,1,63,1,62,1,62,1,71,1,346,1,334,1,334,1,334,1,335,1
201381-R05-73XX.csv,5,1,6,1,1,1,1,1,5,1,5,1,5,1,9,1,17,1,17,1,1,1,1,1,1,1,1,5,9,9,15,1,11,7,1,7,7,1,9,1,11,13,5,17,1,35,33,1,47,11,11,11,13,13,13,39,1,5,1,4,1,1,43,1,9,1,19,1,19,1,19,1,19,1,17,1,17,1,17,1,710,1,687,1,699,1,690,1,655
201382-R05-72XX.csv,1,7,1,7,62,62,62,62,1,62,1,62,1,62,1,20,1,62,1,62,62,62,62,62,62,62,62,1,1,1,1,14,1,1,14,1,1,30,1,30,1,1,1,1,10,1,1,18,1,1,1,1,1,1,1,1,62,1,8,1,7,62,1,62,1,62,1,62,1,62,1,62,1,62,1,62,1,70,1,334,1,344,1,342,1,334,1,334,1
201382-R05-73XX.csv,5,1,6,1,1,1,1,1,5,1,5,1,5,1,9,1,17,1,17,1,1,1,1,1,1,1,1,5,9,9,15,1,11,7,1,7,7,1,7,1,9,11,5,15,1,29,27,1,41,11,11,11,13,13,13,37,1,5,1,4,1,1,41,1,9,1,17,1,17,1,17,1,17,1,17,1,17,1,17,1,687,1,862,1,862,1,847,1,811
201383-R05-72XX.csv,1,7,1,7,62,62,62,62,1,62,1,62,1,62,1,20,1,62,1,62,62,62,62,62,62,62,62,1,1,1,1,14,1,1,14,1,1,30,1,30,1,1,1,1,10,1,1,18,1,1,1,1,1,1,1,1,62,1,8,1,7,62,1,62,1,62,1,62,1,62,1,62,1,62,1,62,1,70,1,334,1,342,1,344,1,335,1,334,1
201383-R05-73XX.csv,5,1,6,1,1,1,1,1,5,1,5,1,5,1,9,1,17,1,17,1,1,1,1,1,1,1,1,5,9,9,15,1,11,7,1,7,7,1,7,1,9,11,5,15,1,29,27,1,41,11,11,11,13,13,13,39,1,5,1,4,1,1,43,1,9,1,19,1,19,1,19,1,19,1,17,1,17,1,17,1,699,1,862,1,876,1,851,1,813
201384-R05-72XX.csv,1,7,1,7,62,62,62,62,1,62,1,62,1,62,1,20,1,62,1,62,62,62,62,62,62,62,62,1,1,1,1,14,1,1,14,1,1,30,1,30,1,1,1,1,10,1,1,18,1,1,1,1,1,1,1,1,62,1,8,1,7,62,1,62,1,62,1,62,1,62,1,62,1,62,1,62,1,70,1,334,1,334,1,335,1,344,1,342,1
201384-R05-73XX.csv,5,1,6,1,1,1,1,1,5,1,5,1,5,1,9,1,17,1,17,1,1,1,1,1,1,1,1,5,9,9,15,1,11,7,1,7,7,1,7,1,9,11,5,15,1,29,27,1,41,11,11,11,13,13,13,37,1,5,1,4,1,1,43,1,9,1,19,1,19,1,19,1,19,1,17,1,17,1,17,1,690,1,847,1,851,1,854,1,816
201385-R05-72XX.csv,1,7,1,7,62,62,62,62,1,62,1,62,1,62,1,20,1,62,1,62,62,62,62,62,62,62,62,1,1,1,1,14,1,1,14,1,1,30,1,30,1,1,1,1,10,1,1,18,1,1,1,1,1,1,1,1,62,1,8,1,7,62,1,62,1,62,1,62,1,62,1,62,1,62,1,62,1,70,1,335,1,334,1,334,1,342,1,344,1
201385-R05-73XX.csv,5,1,6,1,1,1,1,1,5,1,5,1,5,1,9,1,17,1,17,1,1,1,1,1,1,1,1,5,9,9,15,1,11,7,1,7,7,1,7,1,9,11,5,15,1,29,27,1,41,11,11,11,13,13,13,35,1,5,1,4,1,1,41,1,9,1,17,1,17,1,17,1,17,1,17,1,17,1,17,1,655,1,811,1,813,1,816,1,846
